ID_Client,Pays,TypeAbonnement,AppareilPrincipal,StatutCompte,GenrePrefere,ModePaiement,LanguePreferee,DateInscription,DateDernierPaiement,DateDebutAbonnement,DateFinAbonnement,DureeTotaleVisionnage,NombreConnexionsMois,MontantDernierPaiement,AgeUtilisateur,NombreFilmsRegardes,NombreEpisodesRegardes
177,USA,Standard,Mobile,Suspendu,Horreur,Chèque,Hindi,2023-07-24,2016-03-23,2018-01-13,2023-06-10,3712,95,10.02,54,81,210
178,France,Basic,Mobile,Actif,Comédie,PayPal,Hindi,2019-10-05,2019-07-16,2015-11-07,2023-03-09,2557,43,6.26,62,3,106
179,Brésil,Premium,Tablette,Annulé,Drame,Virement,Espagnol,2020-06-27,2017-07-03,2016-03-20,2018-07-28,4654,53,12.45,39,90,2
180,Allemagne,Basic,Mobile,Actif,Sci-Fi,Chèque,Français,2016-05-25,2023-02-04,2016-01-29,2019-08-22,461,74,10.04,34,90,58
181,France,Premium,PC,Annulé,Action,Chèque,Français,2022-04-26,2015-04-20,2023-02-17,2023-10-09,4907,85,15.37,44,57,151
182,France,Standard,Mobile,Annulé,Comédie,Virement,Anglais,2017-06-22,2023-10-05,2021-07-17,2023-07-23,3685,7,13.05,56,25,162
183,Inde,Basic,Tablette,Actif,Comédie,Carte de crédit,Allemand,2016-05-17,2023-08-28,2023-05-08,2023-09-22,2152,64,12.58,18,30,226
184,Brésil,Standard,PC,Actif,Comédie,Virement,Japonais,2020-07-31,2019-11-13,2022-02-18,2022-12-25,978,85,6.33,37,16,56
185,Brésil,Premium,Mobile,Annulé,Horreur,Virement,Hindi,2017-01-16,2017-11-27,2023-09-26,2023-12-16,3597,67,13.39,65,47,233
186,Canada,Standard,TV,Suspendu,Sci-Fi,Chèque,Japonais,2023-07-13,2020-08-14,2015-04-11,2017-09-08,3275,20,8.91,22,84,128
187,Allemagne,Premium,TV,Actif,Action,Virement,Japonais,2022-07-10,2015-06-03,2019-12-22,2020-04-12,4352,32,11.19,47,87,242
188,Allemagne,Basic,Mobile,Suspendu,Drame,PayPal,Espagnol,2020-03-28,2015-10-25,2019-06-28,2020-06-15,758,16,8.47,29,83,159
189,Japon,Premium,TV,Annulé,Action,Virement,Anglais,2018-08-18,2022-10-14,2018-10-06,2018-12-08,4840,35,6.66,24,90,218
190,France,Standard,Mobile,Actif,Sci-Fi,Chèque,Espagnol,2023-06-16,2023-05-18,2021-12-04,2022-04-25,2611,17,10.98,39,62,242
191,USA,Premium,Tablette,Actif,Action,PayPal,Hindi,2015-10-15,2018-11-29,2022-11-23,2023-11-10,4564,91,9.32,22,13,135
192,Canada,Basic,TV,Actif,Comédie,Chèque,Allemand,2021-09-17,2016-01-24,2020-04-28,2021-04-02,925,94,15.25,71,17,287
193,Brésil,Basic,Mobile,Annulé,Action,PayPal,Espagnol,2015-03-24,2022-08-06,2020-06-13,2020-08-26,4930,34,10.65,19,97,239
194,USA,Standard,PC,Actif,Comédie,Carte de crédit,Espagnol,2018-03-10,2016-07-31,2020-10-04,2021-06-17,1380,21,10.09,69,51,46
195,Japon,Standard,PC,Suspendu,Comédie,Carte de crédit,Japonais,2017-12-15,2017-08-24,2020-09-12,2021-04-15,4658,91,11.32,36,96,281
196,USA,Basic,Mobile,Suspendu,Documentaire,Carte de crédit,Hindi,2018-03-22,2023-06-24,2016-10-30,2020-07-30,4391,48,10.38,73,29,0
197,Allemagne,Basic,PC,Annulé,Action,Carte de crédit,Français,2020-08-21,2018-08-17,2015-01-13,2021-09-18,4080,7,13.41,50,71,235
198,France,Basic,Mobile,Annulé,Sci-Fi,PayPal,Allemand,2018-09-08,2017-06-04,2015-07-19,2017-02-18,335,86,6.72,74,93,208
199,Canada,Premium,Tablette,Suspendu,Horreur,PayPal,Allemand,2018-11-16,2023-05-22,2015-12-28,2016-02-17,2331,44,9.27,70,21,299
200,Inde,Premium,Mobile,Annulé,Drame,Carte de crédit,Allemand,2023-07-25,2023-08-20,2022-12-07,2023-07-23,3230,0,11.53,33,58,234
201,Allemagne,Premium,Tablette,Actif,Comédie,Carte de crédit,Hindi,2017-02-13,2018-02-11,2018-01-17,2020-07-18,437,69,6.78,20,80,215
202,Japon,Basic,Mobile,Actif,Drame,Virement,Hindi,2016-02-18,2018-11-01,2020-04-15,2020-09-18,3765,96,15.19,64,21,96
203,Canada,Premium,Mobile,Actif,Drame,Carte de crédit,Japonais,2019-10-14,2021-02-12,2018-07-08,2023-07-22,514,56,7.79,64,99,211
204,Japon,Premium,TV,Annulé,Sci-Fi,Virement,Allemand,2019-11-21,2017-03-08,2016-12-13,2022-02-13,2879,99,15.73,44,8,262
205,Brésil,Standard,PC,Suspendu,Sci-Fi,Virement,Allemand,2016-05-17,2022-06-29,2022-08-06,2023-02-01,1605,3,8.93,64,95,272
206,Brésil,Premium,PC,Actif,Horreur,Chèque,Japonais,2018-07-05,2020-06-26,2017-05-18,2021-12-28,855,79,7.83,62,34,296
207,Allemagne,Basic,PC,Suspendu,Drame,Chèque,Français,2018-02-04,2021-07-13,2019-11-27,2020-05-15,4772,73,7.03,58,37,209
208,Inde,Premium,Mobile,Annulé,Horreur,PayPal,Allemand,2016-04-12,2019-03-18,2020-07-21,2021-04-03,2016,78,10.0,70,54,205
209,Allemagne,Premium,PC,Annulé,Action,Carte de crédit,Japonais,2020-11-20,2015-02-25,2017-09-08,2019-11-11,3493,6,8.76,41,31,147
210,France,Premium,Tablette,Annulé,Horreur,Virement,Anglais,2023-04-15,2015-01-16,2019-08-01,2020-04-11,3457,4,6.9,34,66,294
211,Inde,Standard,TV,Annulé,Sci-Fi,PayPal,Anglais,2018-02-21,2022-11-22,2015-10-21,2023-04-09,519,78,9.45,50,24,11
212,Inde,Standard,PC,Annulé,Horreur,Carte de crédit,Espagnol,2017-10-26,2015-03-20,2018-01-26,2018-05-08,2642,82,13.25,63,77,63
213,Allemagne,Premium,Mobile,Suspendu,Drame,Carte de crédit,Espagnol,2019-06-10,2018-10-15,2023-10-08,2023-11-26,1752,59,15.48,56,77,256
214,USA,Basic,Tablette,Suspendu,Action,PayPal,Allemand,2019-04-06,2021-06-10,2021-09-20,2021-09-24,2604,67,14.12,70,30,145
215,USA,Basic,PC,Annulé,Horreur,Chèque,Japonais,2018-04-01,2018-05-29,2015-05-09,2016-07-14,1591,69,12.58,20,63,147
216,Canada,Standard,TV,Actif,Sci-Fi,Virement,Japonais,2021-12-26,2015-11-28,2023-02-19,2023-10-30,2691,58,11.07,59,57,228
217,France,Premium,Mobile,Suspendu,Comédie,Chèque,Espagnol,2020-06-25,2017-10-01,2017-07-10,2022-09-20,1697,20,7.98,23,24,128
218,Inde,Basic,PC,Actif,Comédie,Virement,Français,2023-01-01,2020-04-03,2022-04-13,2022-09-04,1653,8,9.12,70,92,56
219,USA,Basic,PC,Suspendu,Action,Carte de crédit,Allemand,2020-07-06,2019-06-25,2020-04-28,2020-08-06,2812,20,6.64,74,67,63
220,Allemagne,Basic,TV,Actif,Comédie,Chèque,Allemand,2017-04-19,2019-12-07,2015-10-02,2016-04-12,1376,11,12.76,30,56,130
221,France,Premium,Tablette,Suspendu,Documentaire,Virement,Espagnol,2019-05-02,2016-02-08,2018-06-09,2021-11-09,3589,99,7.77,33,96,97
222,Allemagne,Standard,Mobile,Suspendu,Documentaire,Carte de crédit,Français,2020-05-29,2019-09-04,2018-05-22,2021-08-13,1040,6,11.95,71,24,165
223,Canada,Standard,PC,Actif,Documentaire,PayPal,Espagnol,2017-11-25,2016-05-30,2019-10-11,2023-05-01,969,93,8.14,30,51,156
224,USA,Basic,Mobile,Actif,Comédie,PayPal,Japonais,2015-04-20,2018-05-14,2019-08-21,2021-12-17,1744,98,10.16,50,53,69
225,Brésil,Standard,Tablette,Suspendu,Documentaire,PayPal,Anglais,2023-04-21,2015-06-28,2020-12-30,2021-10-06,3365,41,8.18,36,30,93
226,France,Basic,PC,Actif,Comédie,PayPal,Allemand,2015-07-01,2021-06-19,2015-01-27,2020-08-20,2544,13,12.81,56,68,148
227,Canada,Premium,TV,Annulé,Horreur,Chèque,Japonais,2016-06-12,2022-09-25,2016-09-04,2017-11-06,694,47,15.47,27,65,40
228,Inde,Standard,Mobile,Annulé,Documentaire,Chèque,Français,2020-03-04,2021-04-19,2020-12-14,2021-10-15,4377,31,10.97,53,82,250
229,Brésil,Basic,Tablette,Actif,Drame,Chèque,Allemand,2020-08-16,2016-11-24,2017-11-24,2017-12-02,1766,92,12.02,54,9,3
230,Allemagne,Premium,Tablette,Suspendu,Comédie,Chèque,Français,2020-01-18,2022-07-14,2023-08-31,2024-06-06,969,53,6.08,35,29,283
231,Allemagne,Basic,TV,Actif,Horreur,Chèque,Français,2020-10-13,2017-02-16,2023-11-27,2024-11-17,2623,29,7.92,39,58,179
232,France,Standard,Tablette,Annulé,Horreur,PayPal,Japonais,2021-05-11,2018-06-20,2018-10-29,2019-03-12,2570,71,7.99,31,24,255
233,France,Basic,TV,Annulé,Horreur,Virement,Anglais,2017-06-03,2021-11-12,2022-01-11,2022-10-17,993,34,12.54,58,87,36
234,Brésil,Premium,Mobile,Annulé,Action,Virement,Hindi,2016-12-08,2018-07-11,2023-10-14,2024-09-29,1938,70,9.13,73,1,15
235,USA,Basic,PC,Actif,Documentaire,Chèque,Hindi,2022-06-12,2017-12-12,2017-03-19,2017-04-03,849,19,9.45,65,60,130
236,Inde,Premium,TV,Suspendu,Sci-Fi,Carte de crédit,Espagnol,2020-06-10,2020-08-06,2023-06-27,2023-10-12,3240,51,13.61,70,82,139
237,France,Basic,Tablette,Suspendu,Drame,Virement,Hindi,2020-01-03,2018-04-23,2016-06-04,2016-12-29,1629,72,12.25,36,4,220
238,Allemagne,Basic,Mobile,Suspendu,Horreur,Virement,Français,2021-09-18,2022-05-16,2020-12-30,2021-01-08,4284,89,14.25,18,48,3
239,Brésil,Premium,Mobile,Suspendu,Sci-Fi,Carte de crédit,Hindi,2016-01-19,2018-07-27,2021-03-16,2023-10-14,1688,25,9.74,29,98,111
240,Japon,Basic,PC,Annulé,Comédie,Carte de crédit,Anglais,2018-03-06,2022-09-01,2016-08-22,2021-12-10,4273,73,9.74,51,84,122
241,France,Standard,Tablette,Annulé,Action,Carte de crédit,Japonais,2017-12-21,2020-02-04,2020-06-25,2023-09-03,1566,14,11.3,38,97,116
242,Allemagne,Basic,TV,Suspendu,Action,Virement,Français,2019-06-09,2015-01-13,2023-03-21,2023-05-27,4847,67,7.01,54,31,5
243,France,Standard,Tablette,Suspendu,Drame,PayPal,Anglais,2017-09-26,2020-05-25,2020-09-09,2023-07-20,1499,37,13.7,31,55,100
244,USA,Basic,Tablette,Actif,Documentaire,PayPal,Anglais,2023-10-07,2021-08-29,2015-11-29,2016-08-31,3679,30,13.52,18,50,93
245,Japon,Basic,PC,Suspendu,Action,Carte de crédit,Espagnol,2022-09-17,2023-07-14,2017-03-12,2018-09-24,2554,33,12.26,52,23,56
246,Canada,Premium,Tablette,Annulé,Sci-Fi,PayPal,Japonais,2018-05-31,2018-04-30,2015-09-09,2017-03-12,71,97,12.89,20,17,62
247,USA,Basic,Tablette,Actif,Horreur,Chèque,Hindi,2016-05-12,2020-07-27,2018-01-23,2018-05-26,3488,26,12.99,66,86,48
248,Inde,Standard,TV,Annulé,Documentaire,Carte de crédit,Anglais,2020-07-30,2018-09-02,2021-02-26,2022-11-03,3198,14,10.43,70,42,246
249,Inde,Standard,Tablette,Actif,Action,Virement,Français,2023-05-27,2019-05-13,2018-02-19,2018-04-08,246,64,11.09,22,87,74
250,USA,Basic,Tablette,Actif,Action,Carte de crédit,Espagnol,2019-05-17,2017-07-08,2020-08-26,2021-04-17,996,27,11.44,40,76,147
251,Allemagne,Premium,Tablette,Annulé,Sci-Fi,Virement,Hindi,2021-02-17,2023-05-15,2023-01-13,2023-05-08,3095,95,7.09,73,16,209
252,Inde,Basic,Tablette,Suspendu,Action,Carte de crédit,Japonais,2020-11-22,2022-05-03,2016-06-13,2021-05-10,2358,67,9.61,37,98,43
253,Brésil,Standard,Mobile,Actif,Documentaire,Chèque,Allemand,2016-12-27,2020-02-23,2022-07-13,2022-10-13,1529,1,13.51,61,0,23
254,USA,Standard,TV,Annulé,Documentaire,PayPal,Hindi,2021-11-01,2015-06-20,2016-10-28,2022-12-28,3605,79,7.43,63,93,19
255,Canada,Premium,Mobile,Actif,Documentaire,Chèque,Hindi,2023-10-02,2023-11-25,2017-11-15,2020-08-09,356,98,6.72,31,27,55
256,Brésil,Basic,PC,Annulé,Documentaire,Chèque,Anglais,2016-01-23,2020-08-24,2020-10-10,2020-12-14,2128,47,11.66,39,20,90
257,Allemagne,Premium,TV,Actif,Sci-Fi,Carte de crédit,Espagnol,2022-12-22,2020-09-28,2015-03-10,2017-05-28,2077,32,9.55,51,67,197
258,Allemagne,Premium,PC,Suspendu,Documentaire,Chèque,Anglais,2019-12-30,2017-04-02,2015-09-29,2021-03-12,2801,67,11.41,65,48,231
259,Allemagne,Basic,PC,Actif,Horreur,Virement,Français,2015-02-18,2016-06-11,2022-02-15,2022-03-05,3697,30,10.94,68,41,146
260,Inde,Standard,Mobile,Actif,Drame,Carte de crédit,Hindi,2019-08-08,2022-06-22,2023-12-09,2024-03-01,3465,12,13.62,51,47,82
261,Inde,Premium,PC,Actif,Comédie,Chèque,Hindi,2023-03-27,2022-03-22,2019-09-10,2020-04-27,1886,65,9.32,32,68,243
262,USA,Basic,Mobile,Annulé,Sci-Fi,Carte de crédit,Hindi,2015-04-19,2019-05-13,2023-03-29,2023-06-19,4913,50,13.35,33,47,239
263,Brésil,Premium,PC,Suspendu,Drame,Chèque,Hindi,2020-05-04,2020-11-10,2016-12-03,2018-02-02,3948,12,15.08,24,77,24
264,Japon,Premium,Tablette,Annulé,Horreur,Chèque,Français,2023-01-16,2020-03-13,2018-06-25,2019-06-25,2895,6,12.01,55,85,45
265,Inde,Standard,PC,Annulé,Horreur,Virement,Français,2022-01-11,2017-10-20,2019-12-12,2021-03-22,2424,46,6.31,73,95,16
266,Allemagne,Premium,Tablette,Annulé,Drame,Chèque,Japonais,2020-10-25,2017-07-13,2017-11-18,2018-06-27,1466,35,7.33,33,0,134
267,Brésil,Basic,PC,Annulé,Sci-Fi,PayPal,Anglais,2016-07-25,2015-09-28,2022-03-27,2022-12-03,1499,9,9.18,58,69,231
268,Allemagne,Basic,Tablette,Annulé,Comédie,PayPal,Anglais,2021-10-22,2018-04-27,2017-07-23,2018-12-03,1549,11,11.42,62,2,189
269,Brésil,Standard,Tablette,Annulé,Action,Chèque,Hindi,2017-11-09,2017-12-10,2016-07-12,2017-04-21,506,29,6.73,65,7,44
270,Japon,Basic,TV,Suspendu,Action,Virement,Espagnol,2019-03-12,2015-02-10,2023-10-24,2023-11-04,3214,28,9.0,66,53,264
271,USA,Basic,PC,Suspendu,Comédie,Carte de crédit,Français,2019-09-10,2019-07-16,2019-06-24,2022-03-20,2357,46,10.72,67,44,68
272,Inde,Standard,PC,Actif,Sci-Fi,Carte de crédit,Allemand,2016-02-27,2019-06-17,2016-01-08,2016-01-22,3410,79,11.21,24,14,191
273,France,Basic,Tablette,Actif,Documentaire,Chèque,Anglais,2019-07-01,2020-12-27,2018-01-08,2019-03-15,2851,7,13.13,25,16,271
274,Japon,Premium,PC,Suspendu,Action,Chèque,Anglais,2017-09-25,2023-08-07,2015-01-11,2018-11-13,1535,51,15.95,42,49,47
275,Japon,Standard,Mobile,Annulé,Horreur,Chèque,Anglais,2020-05-09,2015-08-15,2022-10-01,2023-01-04,2853,23,10.19,67,5,208
276,Inde,Basic,TV,Actif,Action,Carte de crédit,Français,2019-01-02,2019-07-16,2018-10-02,2019-01-26,2715,61,10.07,18,95,166
277,Allemagne,Basic,TV,Annulé,Drame,Carte de crédit,Espagnol,2017-08-07,2017-05-24,2023-05-21,2024-01-22,1265,29,10.58,67,53,270
278,Canada,Premium,TV,Annulé,Sci-Fi,PayPal,Anglais,2019-08-02,2018-08-06,2016-10-18,2022-05-19,2999,3,13.93,27,78,154
279,France,Basic,PC,Actif,Drame,Carte de crédit,Japonais,2018-09-23,2020-05-07,2019-03-20,2020-03-15,765,83,9.14,18,49,294
280,Canada,Basic,Tablette,Suspendu,Sci-Fi,Virement,Allemand,2020-12-16,2023-03-22,2020-03-05,2020-10-28,544,18,7.09,71,70,206
281,Allemagne,Standard,TV,Suspendu,Drame,PayPal,Allemand,2022-09-08,2016-02-03,2022-04-03,2022-04-20,198,32,13.75,47,33,222
282,Canada,Standard,Mobile,Annulé,Action,PayPal,Allemand,2023-09-20,2018-09-02,2022-02-23,2022-07-17,4042,54,13.98,67,47,44
283,Japon,Basic,Mobile,Actif,Drame,Chèque,Anglais,2017-05-24,2020-10-10,2016-12-19,2017-12-18,4976,74,6.44,60,68,161
284,Japon,Standard,PC,Annulé,Drame,Virement,Japonais,2022-07-21,2019-02-09,2017-09-23,2019-12-07,1780,93,13.03,23,87,62
285,Allemagne,Basic,Tablette,Annulé,Documentaire,Chèque,Anglais,2021-08-16,2019-11-17,2023-11-02,2024-03-07,1061,67,6.2,29,10,182
286,Japon,Premium,Mobile,Suspendu,Action,Carte de crédit,Allemand,2017-11-29,2022-03-10,2019-05-31,2020-01-11,185,18,13.52,30,45,148
287,Allemagne,Standard,TV,Actif,Documentaire,PayPal,Allemand,2021-09-08,2016-11-23,2020-10-30,2021-08-07,2720,6,15.0,50,66,35
288,France,Premium,TV,Suspendu,Comédie,PayPal,Anglais,2020-03-24,2018-11-17,2019-02-08,2019-08-30,575,12,13.92,26,47,175
289,USA,Premium,TV,Suspendu,Comédie,Chèque,Anglais,2016-07-15,2021-02-20,2020-03-11,2020-12-21,422,70,14.26,21,0,223
290,Inde,Premium,TV,Actif,Action,Virement,Hindi,2015-11-16,2021-07-19,2022-09-02,2023-05-16,286,36,10.35,56,27,110
291,France,Premium,PC,Actif,Horreur,Virement,Anglais,2018-06-30,2015-07-09,2022-08-01,2023-01-03,676,52,10.99,45,65,125
292,Inde,Standard,Tablette,Suspendu,Drame,PayPal,Anglais,2018-07-22,2015-01-24,2015-11-09,2018-04-30,1018,81,8.64,34,88,284
293,Allemagne,Premium,PC,Actif,Documentaire,Virement,Anglais,2022-01-03,2020-09-17,2021-10-05,2022-02-18,2640,46,7.78,57,66,223
294,France,Standard,PC,Annulé,Drame,Carte de crédit,Allemand,2020-07-25,2022-03-17,2015-06-13,2019-06-01,4574,32,15.7,35,20,243
295,France,Premium,TV,Suspendu,Sci-Fi,Virement,Français,2017-01-10,2022-05-01,2019-10-15,2020-02-18,777,22,15.57,62,21,9
296,Japon,Premium,PC,Suspendu,Horreur,Carte de crédit,Espagnol,2019-03-20,2022-11-21,2017-10-22,2019-11-18,3816,33,6.47,58,7,243
297,Japon,Standard,Tablette,Actif,Action,PayPal,Japonais,2019-06-21,2023-04-28,2020-01-03,2020-09-05,4514,71,14.99,30,45,14
298,Inde,Basic,PC,Annulé,Horreur,Carte de crédit,Allemand,2023-03-22,2016-07-11,2020-03-11,2021-02-27,3308,6,6.69,73,79,152
299,Canada,Premium,Mobile,Actif,Action,Carte de crédit,Français,2017-08-19,2022-01-30,2016-04-09,2023-10-03,2732,94,6.59,66,2,19
300,Japon,Premium,PC,Suspendu,Sci-Fi,Carte de crédit,Anglais,2023-05-15,2017-08-24,2015-03-09,2021-05-26,1704,39,15.16,42,40,172
301,Canada,Basic,Mobile,Suspendu,Drame,Virement,Français,2023-10-19,2022-03-21,2022-07-28,2023-09-04,266,3,14.8,53,64,198
302,Canada,Premium,Tablette,Annulé,Sci-Fi,PayPal,Allemand,2018-10-19,2016-09-19,2022-09-11,2022-10-24,1688,34,15.57,23,48,45
303,Canada,Premium,Tablette,Annulé,Drame,Virement,Français,2020-06-12,2023-11-18,2021-04-06,2023-04-06,3124,67,14.29,66,3,118
304,France,Basic,PC,Actif,Horreur,PayPal,Allemand,2020-02-08,2022-03-14,2023-09-25,2024-08-17,4945,43,14.14,43,89,85
305,Canada,Standard,Tablette,Actif,Horreur,Virement,Japonais,2019-03-16,2019-06-28,2022-04-13,2023-01-01,4858,85,14.28,36,5,288
306,USA,Premium,PC,Actif,Comédie,PayPal,Allemand,2019-03-04,2023-09-13,2022-09-04,2023-02-15,2181,69,13.95,46,12,38
307,Brésil,Standard,Mobile,Actif,Drame,Carte de crédit,Allemand,2020-03-13,2019-08-13,2017-03-27,2018-09-21,1595,67,14.42,43,85,59
308,USA,Standard,TV,Annulé,Horreur,Carte de crédit,Hindi,2023-04-06,2019-05-25,2021-01-16,2023-10-02,2546,49,8.38,37,35,180
309,Japon,Premium,PC,Actif,Sci-Fi,Virement,Français,2021-08-07,2017-12-07,2015-06-04,2019-05-20,2886,28,9.46,57,16,239
310,Canada,Basic,Tablette,Actif,Action,Carte de crédit,Espagnol,2022-12-31,2019-03-21,2016-06-04,2020-02-23,1777,2,15.9,48,30,190
311,France,Standard,PC,Actif,Documentaire,Chèque,Allemand,2017-08-10,2019-04-27,2021-12-04,2022-03-26,2555,1,6.58,30,69,157
312,Canada,Premium,Tablette,Suspendu,Action,PayPal,Français,2016-06-12,2022-08-24,2023-01-07,2023-10-28,4901,56,6.86,56,52,262
313,Japon,Standard,PC,Actif,Drame,Chèque,Anglais,2018-07-27,2020-02-20,2018-01-22,2018-02-04,4738,57,10.02,29,74,210
314,Inde,Premium,Mobile,Suspendu,Action,Chèque,Hindi,2016-05-22,2017-06-23,2020-12-06,2022-06-28,2261,93,12.05,39,72,13
315,Allemagne,Basic,TV,Annulé,Drame,PayPal,Français,2018-09-22,2016-03-14,2018-04-30,2018-07-24,791,96,13.1,24,56,124
316,USA,Premium,TV,Annulé,Drame,Chèque,Français,2017-03-11,2021-10-29,2015-05-10,2018-05-14,1725,75,6.42,27,36,22
317,Allemagne,Standard,Mobile,Suspendu,Sci-Fi,PayPal,Français,2016-03-15,2020-04-02,2015-12-14,2022-07-11,762,26,8.41,47,68,163
318,Allemagne,Standard,Mobile,Suspendu,Horreur,Virement,Hindi,2016-05-31,2016-04-15,2016-08-13,2021-05-31,3523,15,13.51,26,18,187
319,Allemagne,Premium,Tablette,Suspendu,Comédie,Chèque,Anglais,2019-02-02,2021-11-16,2021-06-09,2021-08-28,1549,34,13.64,45,64,227
320,Allemagne,Basic,PC,Actif,Horreur,PayPal,Espagnol,2019-10-09,2016-11-10,2022-07-15,2023-06-28,2201,8,15.8,47,92,133
321,Japon,Premium,Tablette,Annulé,Sci-Fi,Carte de crédit,Français,2015-02-23,2016-10-25,2015-12-22,2019-05-01,1462,21,13.55,51,35,53
322,Inde,Basic,TV,Suspendu,Sci-Fi,Chèque,Allemand,2021-03-22,2017-11-11,2017-06-21,2018-05-11,1286,96,6.16,23,48,287
323,France,Basic,Mobile,Annulé,Drame,PayPal,Japonais,2018-10-23,2017-07-23,2015-07-09,2017-08-05,3679,35,13.37,18,48,193
324,Allemagne,Premium,Mobile,Annulé,Sci-Fi,Carte de crédit,Anglais,2020-09-14,2017-09-15,2016-10-10,2022-07-15,2609,36,14.25,65,48,74
325,Inde,Basic,Mobile,Annulé,Drame,Virement,Japonais,2017-03-19,2018-12-11,2019-09-10,2023-10-14,2041,66,7.59,61,31,184
326,Japon,Premium,Mobile,Annulé,Drame,PayPal,Anglais,2022-01-10,2018-01-06,2021-05-30,2022-05-23,22,14,7.82,50,73,55
327,USA,Standard,Mobile,Suspendu,Horreur,Virement,Espagnol,2021-09-23,2019-07-21,2018-04-11,2019-01-12,521,7,12.52,51,67,152
328,USA,Premium,Tablette,Suspendu,Comédie,Virement,Hindi,2017-07-07,2018-11-21,2015-03-02,2015-10-13,2074,66,6.49,19,56,28
329,USA,Standard,Tablette,Annulé,Drame,Carte de crédit,Japonais,2018-03-09,2023-08-17,2016-08-07,2019-08-07,3895,16,10.3,59,58,83
330,Canada,Premium,Mobile,Actif,Comédie,Virement,Français,2015-10-01,2017-02-23,2017-12-15,2022-01-26,3318,79,15.06,36,46,124
331,Inde,Standard,TV,Actif,Documentaire,Chèque,Hindi,2017-09-10,2022-12-26,2021-05-04,2021-06-20,568,68,7.0,50,64,150
332,USA,Premium,PC,Annulé,Comédie,Chèque,Espagnol,2015-05-30,2022-08-27,2023-08-16,2024-03-13,4117,59,15.55,31,44,203
333,Allemagne,Standard,TV,Actif,Documentaire,Chèque,Japonais,2021-04-10,2023-08-19,2015-05-30,2015-08-28,3969,31,10.24,39,77,114
334,France,Basic,PC,Annulé,Documentaire,Carte de crédit,Japonais,2018-06-06,2017-07-26,2019-02-27,2021-03-14,1247,31,15.12,29,86,252
335,France,Premium,TV,Suspendu,Sci-Fi,Virement,Japonais,2019-10-19,2020-09-12,2020-01-28,2020-04-17,1403,5,12.13,25,1,67
336,Japon,Premium,Tablette,Annulé,Action,PayPal,Anglais,2021-03-31,2019-01-10,2023-05-09,2023-08-01,1293,91,7.04,53,94,293
337,Inde,Premium,PC,Suspendu,Drame,Chèque,Japonais,2021-05-07,2021-12-18,2017-03-18,2017-09-14,1471,54,13.77,29,75,57
338,USA,Standard,PC,Suspendu,Documentaire,Virement,Espagnol,2023-09-12,2020-09-12,2020-05-05,2021-05-15,1673,90,7.32,71,19,82
339,Japon,Standard,TV,Suspendu,Action,PayPal,Anglais,2021-07-09,2019-10-13,2018-11-18,2022-04-01,899,79,6.07,43,24,133
340,Japon,Basic,Tablette,Annulé,Documentaire,Carte de crédit,Hindi,2015-06-06,2023-08-23,2020-06-28,2021-02-15,3526,76,10.21,26,45,56
341,France,Basic,PC,Annulé,Comédie,Carte de crédit,Japonais,2020-04-24,2015-06-09,2016-12-20,2022-05-21,1029,47,12.01,59,67,113
342,Inde,Standard,Tablette,Suspendu,Documentaire,Virement,Japonais,2016-11-03,2016-11-16,2020-01-13,2021-01-04,2992,39,7.26,54,45,241
343,Inde,Basic,Mobile,Actif,Comédie,Carte de crédit,Allemand,2023-05-04,2018-07-10,2022-07-31,2023-07-30,4360,35,13.27,37,2,149
344,Allemagne,Basic,Mobile,Actif,Documentaire,Carte de crédit,Anglais,2022-07-18,2017-03-18,2023-05-01,2024-02-10,243,12,6.09,59,95,230
345,Japon,Standard,PC,Suspendu,Drame,Virement,Allemand,2018-06-17,2023-01-23,2023-07-08,2024-05-27,666,98,12.81,19,32,85
346,France,Standard,TV,Annulé,Drame,Carte de crédit,Français,2017-05-16,2015-09-02,2022-10-15,2023-05-04,4849,44,7.46,60,94,113
347,Japon,Premium,Mobile,Suspendu,Action,PayPal,Anglais,2016-11-12,2023-04-04,2021-04-08,2021-10-09,2879,42,13.41,66,15,252
348,Brésil,Premium,PC,Annulé,Comédie,Virement,Espagnol,2021-09-04,2020-04-17,2016-12-08,2019-09-08,1881,24,13.71,24,79,72
349,Brésil,Premium,Mobile,Actif,Action,Virement,Japonais,2015-02-16,2018-01-20,2019-11-06,2020-08-29,3323,90,11.73,21,99,239
350,USA,Standard,Tablette,Actif,Action,Chèque,Japonais,2022-03-03,2016-04-04,2018-07-01,2018-10-08,2581,71,10.66,32,8,132
351,Canada,Standard,Tablette,Annulé,Drame,PayPal,Hindi,2021-05-18,2019-03-09,2022-12-01,2023-07-14,3009,30,11.26,55,33,205
352,France,Standard,TV,Annulé,Comédie,Chèque,Français,2023-04-29,2021-11-27,2022-05-25,2023-03-31,4126,27,15.86,37,98,261
353,Inde,Standard,PC,Annulé,Horreur,Virement,Japonais,2015-04-01,2017-11-21,2021-02-11,2021-07-26,693,76,10.68,53,45,175
354,Allemagne,Basic,Mobile,Actif,Documentaire,PayPal,Hindi,2019-05-19,2017-11-04,2023-10-02,2024-05-20,3082,73,7.22,31,61,131
355,Brésil,Standard,Mobile,Suspendu,Comédie,Carte de crédit,Anglais,2018-05-09,2016-02-24,2020-04-28,2020-05-24,2175,81,15.47,70,43,91
